ID,X,Y,Location,Point_Type,Edge_Type,Hard_Mater,Adj_LU,Erosion,Owner,Adj_H1,Vegetation,Hab_W1,Adj_H2,Vegetati_1,Hab_W2,Adj_H3,Vegetati_2,Hab_W3,Adj_H4,Vegetati_3,Hab_W4,IT_Width,Slope,0yster_Pre,Seagrass_P,geometry
39,-80.7842677,28.75172404,Merritt Island,Transect,Hard Slope,Granite,Mosquito Impoundment,2,Public,Vegetation,"101, 123, 528",2,"Rock, Vegetation",111,2,Water,0,0,,,,2,0.2,No,Yes,POINT (-80.7842677 28.75172404)
40,-80.78498695,28.75120243,Merritt Island,Transition,Hard Slope,Granite,Mosquito Impoundment,2,Public,Vegetation,"527, 528, 123",2,Rock,0,2,Vegetation,111,2,Water,,,4,0.4,No,Yes,POINT (-80.78498695 28.75120243)
41,-80.78668353,28.75182906,Merritt Island,Transition,No Structure,,Mosquito Impoundment,2,Public,Vegetation,"101, 527",2,Vegetation,111,4,Sand,0,1,Water,,,3,0.3,No,Yes,POINT (-80.78668353 28.75182906)
42,-80.78743061,28.75256022,Merritt Island,Transition,Hard Slope,Granite,Mosquito Impoundment,2,Public,Vegetation,"527, 101 , 123",2,"Rock, Vegetation",111,2,Sand,0,2,Water,,,4,0.4,No,Yes,POINT (-80.78743061 28.75256022)
43,-80.78766354,28.75293271,Merritt Island,Transition,No Structure,,Mosquito Impoundment,2,Public,Vegetation,"527, 528, 123",2,Vegetation,111,4,Sand,0,1,Water,,,5,0.3,No,Yes,POINT (-80.78766354 28.75293271)
44,-80.78831532,28.75593091,Merritt Island,Transect,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"527, 101 , 123",3,Sand,0,3,Water,0,0,,,,3,0.4,No,Yes,POINT (-80.78831532 28.75593091)
45,-80.7884014,28.75653039,Merritt Island,Outfall,No Structure,,Mosquito Impoundment,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.7884014 28.75653039)
46,-80.78893952,28.75688025,Merritt Island,Transect,No Structure,,Mosquito Impoundment,2,Public,Vegetation,"133, 101, 123",2,Vegetation,111,4,Sand,0,1,Water,,,5,0.3,No,Yes,POINT (-80.78893952 28.75688025)
47,-80.79197813,28.75817542,Merritt Island,Transect,No Structure,,Mosquito Impoundment,2,Public,Vegetation,"133, 101, 123",2,Vegetation,111,4,Sand,0,1,Water,,,5,0.3,No,No,POINT (-80.79197813 28.75817542)
48,-80.79018767,28.76032085,Merritt Island,Transect,No Structure,,Mosquito Impoundment,2,Public,Vegetation,"133, 101, 123",2,Vegetation,111,4,Sand,0,1,Water,,,5,0.3,No,No,POINT (-80.79018767 28.76032085)
49,-80.78997326,28.76034642,Merritt Island,Transect,No Structure,,Mosquito Impoundment,2,Public,Vegetation,"133, 101, 512",4,Vegetation,111,4,Sand,0,1,Water,,,5,0.6,No,No,POINT (-80.78997326 28.76034642)
50,-80.79113893,28.76057466,Merritt Island,Transect,No Structure,,Mosquito Impoundment,2,Public,Vegetation,"133, 101, 123",2,Vegetation,111,4,Sand,0,1,Water,,,5,0.3,No,No,POINT (-80.79113893 28.76057466)
51,-80.79088999,28.76167864,Merritt Island,Outfall,Hard Slope,Granite,Mosquito Impoundment,3,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.79088999 28.76167864)
52,-80.79088915,28.76171853,Merritt Island,Transect,No Structure,,Mosquito Impoundment,2,Public,Vegetation,"133, 101, 123",2,Vegetation,111,4,Sand,0,1,Water,,,5,0.3,No,No,POINT (-80.79088915 28.76171853)
53,-80.79247174,28.75920891,Merritt Island,Transect,No Structure,,Mosquito Impoundment,2,Public,Vegetation,"133, 101, 123",2,Vegetation,111,4,Sand,0,1,Water,,,5,0.3,No,No,POINT (-80.79247174 28.75920891)
54,-80.79563683,28.75908863,Merritt Island,Transition,Hard Slope,Granite,Mosquito Impoundment,2,Public,Vegetation,"527, 101 , 123",2,Rock,0,2,Sand,0,2,Water,,,4,0.4,No,Yes,POINT (-80.79563683 28.75908863)
55,-80.79687333,28.75911411,Merritt Island,Transition,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"133, 101, 123",2,Vegetation,111,4,Sand,0,1,Water,,,5,0.3,No,Yes,POINT (-80.79687333 28.75911411)
56,-80.79777321,28.75901847,Merritt Island,Transition,Hard Slope,Granite,Mosquito Impoundment,1,Public,Vegetation,"527, 101 , 123",2,"Rock, Vegetation",111,2,Sand,0,2,Water,,,4,0.4,No,Yes,POINT (-80.79777321 28.75901847)
57,-80.79844393,28.76023879,Merritt Island,Transition,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"527, 529",3,Vegetation,108,1,Water,0,0,,,,1,0.4,No,Yes,POINT (-80.79844393 28.76023879)
58,-80.79817118,28.76095343,Merritt Island,Transect,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"133, 101, 123, 527",2,Vegetation,0,4,Sand,0,1,Water,,,5,0.3,No,Yes,POINT (-80.79817118 28.76095343)
59,-80.79868063,28.76200025,Merritt Island,Outfall,Hard Slope,Granite,Mosquito Impoundment,3,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.79868063 28.76200025)
60,-80.80056522,28.75830274,Merritt Island,Transect,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"133, 123, 527",2,Vegetation,0,4,Sand,0,1,Water,,,5,0.3,No,Yes,POINT (-80.80056522 28.75830274)
61,-80.80438737,28.75826335,Merritt Island,Transect,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"123, 527",2,Vegetation,0,4,Sand,0,1,Water,,,5,0.3,No,Yes,POINT (-80.80438737 28.75826335)
62,-80.80524626,28.76337597,Merritt Island,Transect,No Structure,,Natural,2,Public,Vegetation,111,3,Water,0,0,,0,0,,,,3,0.1,No,Yes,POINT (-80.80524626 28.76337597)
63,-80.80488022,28.76353221,Merritt Island,Transect,No Structure,,Mosquito Impoundment,2,Public,Vegetation,"123, 527, 231",2,Vegetation,0,4,Sand,0,1,Water,,,7,0.3,No,Yes,POINT (-80.80488022 28.76353221)
64,-80.8016941,28.76481322,Merritt Island,Transition,Hard Slope,Granite,Mosquito Impoundment,1,Public,Vegetation,"527, 101 , 123",2,"Rock, Vegetation",111,2,Sand,0,1,Water,,,3,0.4,No,Yes,POINT (-80.8016941 28.76481322)
65,-80.80164439,28.76508462,Merritt Island,Outfall,Hard Slope,Granite,Mosquito Impoundment,3,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.80164439 28.76508462)
66,-80.79938756,28.76691079,Merritt Island,Transect,Hard Slope,Granite,Mosquito Impoundment,1,Public,Vegetation,"527, 123",2,Rock,0,2,Water,0,0,,,,2,0.4,No,Yes,POINT (-80.79938756 28.76691079)
67,-80.79657376,28.76857677,Merritt Island,Transect,Hard Slope,Granite,Mosquito Impoundment,1,Public,Vegetation,"527, 123",2,"Rock, Vegetation",111,2,Water,0,0,,,,2,0.4,No,Yes,POINT (-80.79657376 28.76857677)
68,-80.7937276,28.7685487,Merritt Island,Transition,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"527, 529",3,Vegetation,111,2,Sand,0,2,Water,,,4,0.4,No,Yes,POINT (-80.7937276 28.7685487)
69,-80.79316962,28.76845222,Merritt Island,Outfall,Hard Slope,Granite,Mosquito Impoundment,3,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.79316962 28.76845222)
70,-80.79503325,28.76912738,Merritt Island,Transect,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"527, 529, 101",3,Vegetation,0,2,Sand,0,2,Water,,,4,0.4,No,Yes,POINT (-80.79503325 28.76912738)
71,-80.79778067,28.77169451,Merritt Island,Transect,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"527, 529, 101",3,Vegetation,0,2,Sand,0,2,Water,,,4,0.4,No,Yes,POINT (-80.79778067 28.77169451)
72,-80.79927013,28.77224947,Merritt Island,Transect,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"527, 123, 101",3,Vegetation,111,2,Sand,0,2,Water,,,4,0.4,No,Yes,POINT (-80.79927013 28.77224947)
73,-80.79981001,28.77125672,Merritt Island,Transition,Hard Slope,Granite,Mosquito Impoundment,1,Public,Vegetation,"527, 101 , 123",2,"Rock, Vegetation",111,2,Sand,0,1,Water,,,3,0.4,No,Yes,POINT (-80.79981001 28.77125672)
74,-80.80318146,28.77124247,Merritt Island,Transect,Hard Slope,Granite,Mosquito Impoundment,1,Public,Vegetation,"527, 101 , 123",2,"Rock, Vegetation",111,2,Sand,0,1,Water,,,3,0.4,No,Yes,POINT (-80.80318146 28.77124247)
75,-80.80552354,28.7740432,Merritt Island,Transect,Hard Slope,Granite,Mosquito Impoundment,1,Public,Vegetation,"527, 123",2,"Rock, Vegetation",111,2,Sand,0,1,Water,,,3,0.4,No,Yes,POINT (-80.80552354 28.7740432)
76,-80.80508717,28.77543108,Merritt Island,Outfall,Hard Slope,Granite,Mosquito Impoundment,3,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.80508717 28.77543108)
77,-80.80616659,28.77503176,Merritt Island,Transect,Hard Slope,Granite,Mosquito Impoundment,1,Public,Vegetation,"527, 123",2,"Rock, Vegetation",111,2,Sand,0,1,Water,,,3,0.4,No,Yes,POINT (-80.80616659 28.77503176)
78,-80.80790911,28.77512204,Merritt Island,Outfall,Hard Slope,Granite,Mosquito Impoundment,3,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.80790911 28.77512204)
79,-80.80934518,28.77580315,Merritt Island,Transect,Hard Slope,Granite,Mosquito Impoundment,1,Public,Vegetation,"527, 123, 101",2,"Rock, Vegetation",111,2,Sand,0,1,Water,,,3,0.4,No,Yes,POINT (-80.80934518 28.77580315)
80,-80.81102198,28.77654612,Merritt Island,Transition,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"101, 123, 528",2,Vegetation,111,4,Sand,0,1,Water,,,5,0.3,No,Yes,POINT (-80.81102198 28.77654612)
81,-80.81471496,28.77729823,Merritt Island,Transition,Hard Slope,Granite,Mosquito Impoundment,1,Public,Vegetation,"527, 528, 123",2,"Rock, Vegetation",111,2,Sand,0,1,Water,,,3,0.4,No,Yes,POINT (-80.81471496 28.77729823)
82,-80.81607467,28.77752513,Merritt Island,Outfall,Hard Slope,Granite,Mosquito Impoundment,3,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.81607467 28.77752513)
83,-80.81802808,28.77789125,Merritt Island,Transition,Hard Slope,Granite,Mosquito Impoundment,1,Public,Vegetation,"527, 528, 123, 101",2,"Rock, Vegetation",111,2,Sand,0,1,Water,,,3,0.4,No,Yes,POINT (-80.81802808 28.77789125)
84,-80.82159374,28.77847186,Merritt Island,Transect,Hard Slope,Granite,Mosquito Impoundment,1,Public,Vegetation,"527, 528, 123, 101",2,"Rock, Vegetation",111,2,Sand,0,1,Water,,,3,0.4,No,Yes,POINT (-80.82159374 28.77847186)
85,-80.82530055,28.78034304,Merritt Island,Transition,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"101, 123, 528",2,Vegetation,111,4,Sand,0,1,Water,,,5,0.3,No,Yes,POINT (-80.82530055 28.78034304)
86,-80.82379575,28.78286482,Merritt Island,Transect,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"101, 123, 528, 133",2,Vegetation,0,7,Water,0,0,,,,7,0.3,No,Yes,POINT (-80.82379575 28.78286482)
87,-80.82259228,28.78353428,Merritt Island,Outfall,Hard Slope,Granite,Mosquito Impoundment,3,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.82259228 28.78353428)
88,-80.82253486,28.78368583,Merritt Island,Transect,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"101, 123, 528, 527, 133",3,Vegetation,111,4,Sand,0,1,Water,,,5,0.3,No,Yes,POINT (-80.82253486 28.78368583)
89,-80.82658282,28.78257916,Merritt Island,Transition,Hard Slope,Granite,Mosquito Impoundment,1,Public,Vegetation,"133, 528, 123, 101",2,"Rock, Vegetation",111,2,Sand,0,1,Water,,,3,0.4,No,Yes,POINT (-80.82658282 28.78257916)
90,-80.82814126,28.7824163,Merritt Island,Outfall,Hard Slope,Granite,Mosquito Impoundment,3,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.82814126 28.7824163)
91,-80.83026557,28.7821537,Merritt Island,Transect,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"101, 123, 528, 527, 133",3,Vegetation,111,4,Sand,0,1,Water,,,5,0.3,No,Yes,POINT (-80.83026557 28.7821537)
92,-80.7610023,28.72857339,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"103, 107",2,Vegetation,111,2,Sand,0,2,Water,,,4,0.2,No,Yes,POINT (-80.7610023 28.72857339)
93,-80.75975105,28.72813107,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"133, 101",2,Vegetation,0,3,Sand,0,1,Water,,,4,0.1,No,Yes,POINT (-80.75975105 28.72813107)
94,-80.75908209,28.73059452,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,103,2,Vegetation,111,4,Water,0,0,,,,4,0.1,No,Yes,POINT (-80.75908209 28.73059452)
95,-80.75838765,28.73109399,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"505, 231",2,Vegetation,111,2,Water,0,0,,,,4,0.1,No,Yes,POINT (-80.75838765 28.73109399)
96,-80.75785825,28.73176136,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"103, 107",1,Vegetation,111,2,Water,0,0,,,,2,0.2,No,Yes,POINT (-80.75785825 28.73176136)
97,-80.75739959,28.73194719,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,"133, 101",2,Vegetation,0,3,Sand,0,1,Water,,,4,0.2,No,Yes,POINT (-80.75739959 28.73194719)
98,-80.75595573,28.73163077,Merritt Island,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.75595573 28.73163077)
99,-80.75581608,28.73134662,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,"133, 101",2,Vegetation,0,3,Sand,0,1,Water,,,4,0.2,No,Yes,POINT (-80.75581608 28.73134662)
100,-80.75478704,28.7283563,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,"101, 123, 133, 530",2,Vegetation,0,3,Sand,0,1,Water,,,4,0.2,No,Yes,POINT (-80.75478704 28.7283563)
101,-80.75197298,28.72768667,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,"101, 123, 133, 530",2,Vegetation,0,2,Sand,0,1,Water,,,3,0.2,No,No,POINT (-80.75197298 28.72768667)
102,-80.7531332,28.73038338,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,"101, 123, 133, 530",2,Vegetation,0,2,Sand,0,1,Water,,,3,0.2,No,No,POINT (-80.7531332 28.73038338)
103,-80.75102633,28.72834775,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"101, 123, 133",2,Vegetation,0,2,Sand,0,1,Water,,,3,0.2,No,No,POINT (-80.75102633 28.72834775)
104,-80.7483494,28.7264044,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,"101, 123, 133",3,Sand,0,2,Water,0,0,,,,2,0.2,No,Yes,POINT (-80.7483494 28.7264044)
105,-80.74669071,28.72416392,Merritt Island,Transition,Hard Slope,Granite,Park,1,Public,Vegetation,"101, 123, 133",3,"Rock, S",0,2,Water,0,0,,,,2,0.2,No,Yes,POINT (-80.74669071 28.72416392)
106,-80.74427831,28.72081015,Merritt Island,Transition,No Structure,,Park,1,Public,Vegetation,"101, 123, 133",3,Vegetation,0,2,Sand,0,1,Water,,,3,0.2,No,No,POINT (-80.74427831 28.72081015)
107,-80.74322336,28.71744708,Merritt Island,Transect,Saltmarsh,,Park,1,Public,Vegetation,"101, 123, 133",3,Vegetation,0,2,Sand,0,1,Water,,,3,0.2,No,Yes,POINT (-80.74322336 28.71744708)
108,-80.74352645,28.71451819,Merritt Island,Transect,Saltmarsh,,Park,3,Public,Vegetation,"123, 107, 233",3,Vegetation,111,1,Sand,0,2,Water,,,3,0.1,No,Yes,POINT (-80.74352645 28.71451819)
109,-80.74450328,28.71194428,Merritt Island,Transect,Saltmarsh,,Park,3,Public,Vegetation,"123, 107, 111, 233",3,Vegetation,111,1,Sand,0,2,Water,,,6,0.1,No,Yes,POINT (-80.74450328 28.71194428)
110,-80.74653673,28.70919669,Merritt Island,Transect,Saltmarsh,,Park,3,Public,Vegetation,"111, 123, 107, 233",3,Vegetation,111,1,Sand,0,2,Water,,,6,0.1,No,Yes,POINT (-80.74653673 28.70919669)
111,-80.74749755,28.70625841,Merritt Island,Transect,Saltmarsh,,Park,3,Public,Vegetation,"123, 107, 233",3,Vegetation,0,1,Sand,0,2,Water,,,3,0.1,No,No,POINT (-80.74749755 28.70625841)
112,-80.74435987,28.70551016,Merritt Island,Transect,Saltmarsh,,Park,3,Public,Vegetation,"111, 123, 107, 233",3,Vegetation,0,1,Sand,0,2,Water,,,6,0.1,No,No,POINT (-80.74435987 28.70551016)
113,-80.74134858,28.70663786,Merritt Island,Transect,Saltmarsh,,Park,3,Public,Vegetation,"111, 123, 107, 233",3,Vegetation,0,1,Sand,0,2,Water,,,6,0.1,No,No,POINT (-80.74134858 28.70663786)
114,-80.73818123,28.70734898,Merritt Island,Transect,Saltmarsh,,Park,3,Public,Vegetation,"111, 123, 107, 233",3,Vegetation,0,1,Water,0,0,,,,4,0.1,No,No,POINT (-80.73818123 28.70734898)
115,-80.7353266,28.70841566,Merritt Island,Transect,Saltmarsh,,Park,3,Public,Vegetation,"111, 123, 107, 233",3,Vegetation,0,1,Water,0,0,,,,4,0.1,No,No,POINT (-80.7353266 28.70841566)
116,-80.73502184,28.70981569,Merritt Island,Transect,No Structure,,Park,3,Public,"Vegetation, Sand","101, 133",3,Vegetation,111,1,Sand,0,1,Water,,,2,0.1,No,No,POINT (-80.73502184 28.70981569)
117,-80.7331795,28.70905311,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,"101, 123, 133",3,Vegetation,0,2,Water,0,0,,,,2,0.2,No,Yes,POINT (-80.7331795 28.70905311)
118,-80.72951468,28.70627216,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,"101, 123, 133",3,Vegetation,0,2,Water,0,0,,,,2,0.2,No,Yes,POINT (-80.72951468 28.70627216)
119,-80.72850927,28.70355743,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,"101, 512, 133",3,Vegetation,0,2,Water,0,0,,,,2,0.2,No,Yes,POINT (-80.72850927 28.70355743)
120,-80.72772791,28.70229838,Merritt Island,Transition,Hard Slope,Granite,Mosquito Impoundment,2,Public,"Vegetation, Sand","528, 527",2,"Rock, Vegetation",111,2,Water,0,0,,,,2,0.3,No,No,POINT (-80.72772791 28.70229838)
121,-80.72924327,28.70345794,Merritt Island,Outfall,Hard Slope,Granite,Mosquito Impoundment,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.72924327 28.70345794)
122,-80.72977787,28.70169589,Merritt Island,Transect,Hard Slope,Granite,Mosquito Impoundment,2,Public,"Vegetation, Sand","528, 527",2,Rock,0,2,Water,0,0,,,,2,0.3,No,No,POINT (-80.72977787 28.70169589)
