Name,X,Y,City,Point_Type,Edge_Type,Hard_Mater,Adj_LU,Erosion,Owner,Adj_H1,V_Type1,Hab_W1,Adj_H2,V_Type2,Hab_W2,Adj_H3,V_Type3,Hab_W3,Adj_H4,V_Type4,Hab_W4,IT_Width,Rest_Opp,Slope,Comments,3_m_depth,5_m_depth,0yster_Pre,Seagrass_P,geometry
A11,-80.84084,28.79964,Scottsmoor,TR,MI,,P,3,PUB,V,"111, 123",4,W,,0,,0,0.0,,,,4.0,Y,0.189,mangrove island 10 m out,38.0,51,N,N,POINT (-80.84084 28.79964)
A12,-80.8391,28.79787,Scottsmoor,TR,MI,,P,2,PUB,V,"123, 111",4,W,,0,,0,0.0,,,,4.0,Y,0.233,mangrove island 10 m out,32.0,45,N,N,POINT (-80.8391 28.79787)
A13,-80.83785,28.79537,Scottsmoor,TR,MI,,P,3,PUB,V,"108, 111",2,S,,2,W,0,0.0,,,,4.0,Y,0.18,end mangrove islands,25.0,33,N,N,POINT (-80.83785 28.79537)
A14,-80.83728,28.79277,Scottsmoor,TS,"MI, HS","RR, CQ",P,2,PUB,"R, V","111, 133",4,W,,0,,0,0.0,,,,4.0,Y,0.28,scattered rock past it,24.0,29,N,N,POINT (-80.83728 28.79277)
A15,-80.83756,28.79132,Scottsmoor,TR,"MI, HS","RR, CQ",P,2,PUB,"R, V",527,3,W,,0,,0,0.0,,,,3.0,Y,0.513,thick mud up to rocks,34.0,37,N,N,POINT (-80.83756 28.79132)
A16,-80.83768,28.791,Scottsmoor,TS,MI,,P,1,PUB,V,99,2,V,509,4,W,0,0.0,,,,4.0,Y,0.228,,28.0,32,N,N,POINT (-80.83768 28.791)
A17,-80.83772,28.79082,Scottsmoor,TS,"MI, HS","RR, CQ",P,2,PUB,"R, V","111, 123",4,W,,0,,0,0.0,,,,4.0,Y,0.238,,26.0,32,N,N,POINT (-80.83772 28.79082)
A18,-80.83768,28.78944,Scottsmoor,OF,HS,"RR, CQ, O-Metal",P,3,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,"metal, 1 m diameter, surrounded by BH and RR, water flow",0.0,0,N,N,POINT (-80.83768 28.78944)
A19,-80.83736,28.78813,Scottsmoor,TS,MI,,P,2,PUB,V,"123, 111",3,V,111,3,W,0,0.0,,,,6.0,Y,0.21,,24.0,29,N,N,POINT (-80.83736 28.78813)
A20,-80.83682,28.78583,Scottsmoor,TR,MI,,P,2,PUB,V,"108, 123",5,W,,0,,0,0.0,,,,5.0,Y,0.16,,36.0,52,N,N,POINT (-80.83682 28.78583)
AA1,-80.797549,28.703232,Merritt Island,TR,"NS, MI",,P,2,PUB,V,"133, 107",2,V,"123, 107",2,S,0,2.0,W,,,4.0,N,0.1,"spoil island, bird rookery",10.0,10,N,Y,POINT (-80.797549 28.703232)
AA2,-80.77100158,28.72683372,Merritt Island,TR,"NS, MI",,P,2,PUB,V,"133, 107",2,V,111,2,S,0,2.0,W,,,4.0,N,0.1,spoil island,10.0,10,N,Y,POINT (-80.77100158 28.72683372)
AA3,-80.77583257,28.72172881,Merritt Island,TR,"NS, MI",,P,1,PUB,V,"101, 123",5,V,111,1,W,0,0.0,,,,1.0,Y,0.33,,13.0,22,Y,N,POINT (-80.77583257 28.72172881)
AA4,-80.77083402,28.74142033,Merritt Island,TR,"NS, MI",,P,1,PUB,V,"111, 123",5,V,111,1,W,0,0.0,,,,6.0,Y,0.33,,13.0,22,Y,N,POINT (-80.77083402 28.74142033)
AA5,-80.77127625,28.74433095,Merritt Island,OF,"NS, MI",,P,1,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,1 round metal,0.0,0,,,POINT (-80.77127625 28.74433095)
AA6,-80.77014453,28.74610389,Merritt Island,TR,"NS, MI",,P,1,PUB,V,"101, 123",5,V,111,1,W,0,0.0,,,,1.0,Y,0.33,,13.0,22,Y,N,POINT (-80.77014453 28.74610389)
AA7,-80.77073503,28.74936914,Merritt Island,TS,"HS, MI",O-Granite,P,2,PUB,V,"101, 133",2,"R, V",111,2,W,0,0.0,,,,2.0,N,0.2,boat ramp,10.0,20,N,Y,POINT (-80.77073503 28.74936914)
AA8,-80.77162452,28.74968707,Merritt Island,TR,"HS, MI",O-Granite,P,2,PUB,V,"101, 133",2,"R, V",111,2,S,0,2.0,W,,,4.0,N,0.1,boat ramp,10.0,20,N,Y,POINT (-80.77162452 28.74968707)
AA9,-80.77361933,28.75246944,Merritt Island,OF,"HS, MI",O-Granite,P,0,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,1 round large,0.0,0,,,POINT (-80.77361933 28.75246944)
AA10,-80.77415083,28.75350444,Merritt Island,TR,"HS, MI",O-Granite,P,2,PUB,V,"101, 133",2,"R, V",111,3,W,0,0.0,,,,3.0,N,0.1,,10.0,10,N,Y,POINT (-80.77415083 28.75350444)
AA11,-80.77438342,28.75367912,Merritt Island,TS,"NS, MI",,P,1,PUB,V,"101, 123, 527",5,V,111,1,W,0,0.0,,,,1.0,Y,0.33,,13.0,22,Y,N,POINT (-80.77438342 28.75367912)
AA12,-80.77479347,28.75369462,Merritt Island,TS,"HS, MI",O-Granite,P,2,PUB,V,"101, 133, 123",2,"R, V",111,2,W,0,0.0,,,,2.0,N,0.2,,10.0,20,N,Y,POINT (-80.77479347 28.75369462)
AA13,-80.77476002,28.75294989,Merritt Island,TS,"NS, MI",,P,1,PUB,V,"101, 123, 527",5,V,111,1,W,0,0.0,,,,1.0,Y,0.33,,13.0,22,Y,N,POINT (-80.77476002 28.75294989)
AA14,-80.77595285,28.75261604,Merritt Island,OF,"HS, MI",O-Granite,P,0,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,1 round large,0.0,0,,,POINT (-80.77595285 28.75261604)
AA15,-80.77666976,28.75225302,Merritt Island,TS,"HS, MI",O-Granite,P,2,PUB,V,"101, 133, 527",2,"R, V",111,2,W,0,0.0,,,,2.0,N,0.2,,10.0,20,N,Y,POINT (-80.77666976 28.75225302)
AA16,-80.77683421,28.75196971,Merritt Island,TS,"HS, MI",O-Granite,P,2,PUB,V,"101, 123",2,"R, V",111,2,W,0,0.0,,,,2.0,N,0.2,,10.0,20,N,Y,POINT (-80.77683421 28.75196971)
AA17,-80.78016962,28.75171565,Merritt Island,TR,"HS, MI",O-Granite,P,2,PUB,V,"123, 527",2,"R, V",111,2,W,0,0.0,,,,2.0,N,0.2,,10.0,20,N,Y,POINT (-80.78016962 28.75171565)
AA18,-80.78338852,28.75123663,Merritt Island,OF,"HS, MI",O-Granite,P,0,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,2 round large metal,0.0,0,,,POINT (-80.78338852 28.75123663)
AA19,-80.7842677,28.75172404,Merritt Island,TR,"HS, MI",O-Granite,P,2,PUB,V,"101, 123, 528",2,"R, V",111,2,W,0,0.0,,,,2.0,N,0.2,,10.0,20,N,Y,POINT (-80.7842677 28.75172404)
AB1,-80.78498695,28.75120243,Merritt Island,TS,HS,O-Granite,MI,2,PUB,V,"527, 528, 123",2,R,,2,V,111,2.0,W,,,4.0,N,0.4,,10.0,10,N,Y,POINT (-80.78498695 28.75120243)
AB2,-80.78668353,28.75182906,Merritt Island,TS,NS,,MI,2,PUB,V,"101, 527",2,V,111,4,S,0,1.0,W,,,3.0,N,0.3,,10.0,10,N,Y,POINT (-80.78668353 28.75182906)
AB3,-80.78743061,28.75256022,Merritt Island,TS,HS,O-Granite,MI,2,PUB,V,"527, 101 , 123",2,"R, V",111,2,S,0,2.0,W,,,4.0,N,0.4,,10.0,10,N,Y,POINT (-80.78743061 28.75256022)
AB4,-80.78766354,28.75293271,Merritt Island,TS,NS,,MI,2,PUB,V,"527, 528, 123",2,V,111,4,S,0,1.0,W,,,5.0,N,0.3,,10.0,10,N,Y,POINT (-80.78766354 28.75293271)
AB5,-80.78831532,28.75593091,Merritt Island,TR,NS,,MI,1,PUB,V,"527, 101 , 123",3,S,,3,W,0,0.0,,,,3.0,Y,0.4,,10.0,30,N,Y,POINT (-80.78831532 28.75593091)
AB6,-80.7884014,28.75653039,Merritt Island,OF,NS,,MI,0,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,canal,0.0,0,,,POINT (-80.7884014 28.75653039)
AB7,-80.78893952,28.75688025,Merritt Island,TR,NS,,MI,2,PUB,V,"133, 101, 123",2,V,111,4,S,0,1.0,W,,,5.0,N,0.3,,10.0,10,N,Y,POINT (-80.78893952 28.75688025)
AB8,-80.79197813,28.75817542,Merritt Island,TR,NS,,MI,2,PUB,V,"133, 101, 123",2,V,111,4,S,0,1.0,W,,,5.0,N,0.3,small island in front,10.0,40,N,N,POINT (-80.79197813 28.75817542)
AB9,-80.79018767,28.76032085,Merritt Island,TR,NS,,MI,2,PUB,V,"133, 101, 123",2,V,111,4,S,0,1.0,W,,,5.0,N,0.3,,10.0,50,N,N,POINT (-80.79018767 28.76032085)
AB10,-80.78997326,28.76034642,Merritt Island,TR,NS,,MI,2,PUB,V,"133, 101, 512",4,V,111,4,S,0,1.0,W,,,5.0,N,0.6,,10.0,50,N,N,POINT (-80.78997326 28.76034642)
AB11,-80.79113893,28.76057466,Merritt Island,TR,NS,,MI,2,PUB,V,"133, 101, 123",2,V,111,4,S,0,1.0,W,,,5.0,N,0.3,small island in front of impoundment,10.0,50,N,N,POINT (-80.79113893 28.76057466)
AB12,-80.79088999,28.76167864,Merritt Island,OF,HS,O-Granite,MI,3,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,"2 large, round metal pipes",0.0,0,,,POINT (-80.79088999 28.76167864)
AB13,-80.79088915,28.76171853,Merritt Island,TR,NS,,MI,2,PUB,V,"133, 101, 123",2,V,111,4,S,0,1.0,W,,,5.0,N,0.3,small island in front of impoundment,10.0,30,N,N,POINT (-80.79088915 28.76171853)
AB14,-80.79247174,28.75920891,Merritt Island,TR,NS,,MI,2,PUB,V,"133, 101, 123",2,V,111,4,S,0,1.0,W,,,5.0,N,0.3,small island in front of impoundment,10.0,30,N,N,POINT (-80.79247174 28.75920891)
AB15,-80.79563683,28.75908863,Merritt Island,TS,HS,O-Granite,MI,2,PUB,V,"527, 101 , 123",2,R,,2,S,0,2.0,W,,,4.0,N,0.4,,10.0,10,N,Y,POINT (-80.79563683 28.75908863)
AB16,-80.79687333,28.75911411,Merritt Island,TS,NS,,MI,1,PUB,V,"133, 101, 123",2,V,111,4,S,0,1.0,W,,,5.0,N,0.3,,10.0,30,N,Y,POINT (-80.79687333 28.75911411)
AB17,-80.79777321,28.75901847,Merritt Island,TS,HS,O-Granite,MI,1,PUB,V,"527, 101 , 123",2,"R, V",111,2,S,0,2.0,W,,,4.0,N,0.4,,10.0,10,N,Y,POINT (-80.79777321 28.75901847)
AB18,-80.79844393,28.76023879,Merritt Island,TS,NS,,MI,1,PUB,V,"527, 529",3,V,108,1,W,0,0.0,,,,1.0,N,0.4,,10.0,20,N,Y,POINT (-80.79844393 28.76023879)
AB19,-80.79817118,28.76095343,Merritt Island,TR,NS,,MI,1,PUB,V,"133, 101, 123, 527",2,V,"111, 231",4,S,0,1.0,W,,,5.0,N,0.3,,10.0,30,N,Y,POINT (-80.79817118 28.76095343)
AB20,-80.79868063,28.76200025,Merritt Island,OF,HS,O-Granite,MI,3,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,"1 large, round metal pipes",0.0,0,,,POINT (-80.79868063 28.76200025)
AB21,-80.80056522,28.75830274,Merritt Island,TR,NS,,MI,1,PUB,V,"133, 123, 527",2,V,"111, 231",4,S,0,1.0,W,,,5.0,N,0.3,,10.0,30,N,Y,POINT (-80.80056522 28.75830274)
AB22,-80.80438737,28.75826335,Merritt Island,TR,NS,,MI,1,PUB,V,"123, 527",2,V,"111, 231",4,S,0,1.0,W,,,5.0,N,0.3,,10.0,30,N,Y,POINT (-80.80438737 28.75826335)
AB23,-80.80524626,28.76337597,Merritt Island,TR,NS,,N,2,PUB,V,111,3,W,,0,,0,0.0,,,,3.0,N,0.1,bird rookery,10.0,10,N,Y,POINT (-80.80524626 28.76337597)
AB24,-80.80488022,28.76353221,Merritt Island,TR,NS,,MI,2,PUB,V,"123, 527, 231",2,V,"111, 231",4,S,0,1.0,W,,,7.0,N,0.3,small island in front of impoundment,10.0,30,N,Y,POINT (-80.80488022 28.76353221)
AB25,-80.8016941,28.76481322,Merritt Island,TS,HS,O-Granite,MI,1,PUB,V,"527, 101 , 123",2,"R, V",111,2,S,0,1.0,W,,,3.0,N,0.4,,10.0,10,N,Y,POINT (-80.8016941 28.76481322)
AB26,-80.80164439,28.76508462,Merritt Island,OF,HS,O-Granite,MI,3,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,"1 large, round metal pipes",0.0,0,,,POINT (-80.80164439 28.76508462)
AB27,-80.79938756,28.76691079,Merritt Island,TR,HS,O-Granite,MI,1,PUB,V,"527, 123",2,R,,2,W,0,0.0,,,,2.0,N,0.4,,10.0,10,N,Y,POINT (-80.79938756 28.76691079)
AB28,-80.79657376,28.76857677,Merritt Island,TR,HS,O-Granite,MI,1,PUB,V,"527, 123",2,"R, V",111,2,W,0,0.0,,,,2.0,N,0.4,,10.0,10,N,Y,POINT (-80.79657376 28.76857677)
AB29,-80.7937276,28.7685487,Merritt Island,TS,NS,,MI,1,PUB,V,"527, 529",3,V,111,2,S,0,2.0,W,,,4.0,N,0.4,,10.0,20,N,Y,POINT (-80.7937276 28.7685487)
AB30,-80.79316962,28.76845222,Merritt Island,OF,HS,O-Granite,MI,3,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,"2 large, round metal pipes",0.0,0,,,POINT (-80.79316962 28.76845222)
AB31,-80.79503325,28.76912738,Merritt Island,TR,NS,,MI,1,PUB,V,"527, 529, 101",3,V,"111, 210",2,S,0,2.0,W,,,4.0,N,0.4,,10.0,20,N,Y,POINT (-80.79503325 28.76912738)
AB32,-80.79778067,28.77169451,Merritt Island,TR,NS,,MI,1,PUB,V,"527, 529, 101",3,V,"111, 210",2,S,0,2.0,W,,,4.0,N,0.4,,10.0,20,N,Y,POINT (-80.79778067 28.77169451)
AB33,-80.79927013,28.77224947,Merritt Island,TR,NS,,MI,1,PUB,V,"527, 123, 101",3,V,111,2,S,0,2.0,W,,,4.0,N,0.4,,10.0,20,N,Y,POINT (-80.79927013 28.77224947)
AB34,-80.79981001,28.77125672,Merritt Island,TS,HS,O-Granite,MI,1,PUB,V,"527, 101 , 123",2,"R, V",111,2,S,0,1.0,W,,,3.0,N,0.4,,10.0,10,N,Y,POINT (-80.79981001 28.77125672)
AB35,-80.80318146,28.77124247,Merritt Island,TR,HS,O-Granite,MI,1,PUB,V,"527, 101 , 123",2,"R, V",111,2,S,0,1.0,W,,,3.0,N,0.4,,10.0,10,N,Y,POINT (-80.80318146 28.77124247)
AB36,-80.80552354,28.7740432,Merritt Island,TR,HS,O-Granite,MI,1,PUB,V,"527, 123",2,"R, V",111,2,S,0,1.0,W,,,3.0,N,0.4,,10.0,10,N,Y,POINT (-80.80552354 28.7740432)
AB37,-80.80508717,28.77543108,Merritt Island,OF,HS,O-Granite,MI,3,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,"1 large, round metal pipes",0.0,0,,,POINT (-80.80508717 28.77543108)
AB38,-80.80616659,28.77503176,Merritt Island,TR,HS,O-Granite,MI,1,PUB,V,"527, 123",2,"R, V",111,2,S,0,1.0,W,,,3.0,N,0.4,,10.0,10,N,Y,POINT (-80.80616659 28.77503176)
AB39,-80.80790911,28.77512204,Merritt Island,OF,HS,O-Granite,MI,3,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,"2 large, round metal pipes",0.0,0,,,POINT (-80.80790911 28.77512204)
AB40,-80.80934518,28.77580315,Merritt Island,TR,HS,O-Granite,MI,1,PUB,V,"527, 123, 101",2,"R, V",111,2,S,0,1.0,W,,,3.0,N,0.4,,10.0,10,N,Y,POINT (-80.80934518 28.77580315)
AB41,-80.81102198,28.77654612,Merritt Island,TS,NS,,MI,1,PUB,V,"101, 123, 528",2,V,111,4,S,0,1.0,W,,,5.0,N,0.3,,10.0,30,N,Y,POINT (-80.81102198 28.77654612)
AB42,-80.81471496,28.77729823,Merritt Island,TS,HS,O-Granite,MI,1,PUB,V,"527, 528, 123",2,"R, V",111,2,S,0,1.0,W,,,3.0,N,0.4,,10.0,10,N,Y,POINT (-80.81471496 28.77729823)
AB43,-80.81607467,28.77752513,Merritt Island,OF,HS,O-Granite,MI,3,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,"1 large, round metal pipes",0.0,0,,,POINT (-80.81607467 28.77752513)
AB44,-80.81802808,28.77789125,Merritt Island,TS,HS,O-Granite,MI,1,PUB,V,"527, 528, 123, 101",2,"R, V",111,2,S,0,1.0,W,,,3.0,N,0.4,,10.0,10,N,Y,POINT (-80.81802808 28.77789125)
AB45,-80.82159374,28.77847186,Merritt Island,TR,HS,O-Granite,MI,1,PUB,V,"527, 528, 123, 101",2,"R, V",111,2,S,0,1.0,W,,,3.0,N,0.4,,10.0,10,N,Y,POINT (-80.82159374 28.77847186)
AB46,-80.82530055,28.78034304,Merritt Island,TS,NS,,MI,1,PUB,V,"101, 123, 528",2,V,111,4,S,0,1.0,W,,,5.0,N,0.3,,10.0,30,N,Y,POINT (-80.82530055 28.78034304)
AB47,-80.82379575,28.78286482,Merritt Island,TR,NS,,MI,1,PUB,V,"101, 123, 528, 133",2,V,"111, 231, 210",7,W,0,0.0,,,,7.0,N,0.3,,10.0,30,N,Y,POINT (-80.82379575 28.78286482)
AB48,-80.82259228,28.78353428,Merritt Island,OF,HS,O-Granite,MI,3,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,"2 large, round metal pipes",0.0,0,,,POINT (-80.82259228 28.78353428)
AB49,-80.82253486,28.78368583,Merritt Island,TR,NS,,MI,1,PUB,V,"101, 123, 528, 527, 133",3,V,111,4,S,0,1.0,W,,,5.0,N,0.3,,10.0,30,N,Y,POINT (-80.82253486 28.78368583)
AB50,-80.82658282,28.78257916,Merritt Island,TS,HS,O-Granite,MI,1,PUB,V,"133, 528, 123, 101",2,"R, V",111,2,S,0,1.0,W,,,3.0,N,0.4,,10.0,10,N,Y,POINT (-80.82658282 28.78257916)
AB51,-80.82814126,28.7824163,Merritt Island,OF,HS,O-Granite,MI,3,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,"2 large, round metal pipes",0.0,0,,,POINT (-80.82814126 28.7824163)
AB52,-80.83026557,28.7821537,Merritt Island,TR,NS,,MI,1,PUB,V,"101, 123, 528, 527, 133",3,V,111,4,S,0,1.0,W,,,5.0,N,0.3,,10.0,30,N,Y,POINT (-80.83026557 28.7821537)
AC1,-80.7610023,28.72857339,Merritt Island,TR,NS,,P,2,PUB,V,"103, 107",2,V,111,2,S,0,2.0,W,,,4.0,N,0.2,,10.0,20,N,Y,POINT (-80.7610023 28.72857339)
AC2,-80.75975105,28.72813107,Merritt Island,TR,NS,,P,2,PUB,V,"133, 101",2,V,"111, 231, 123",3,S,0,1.0,W,,,4.0,N,0.1,,10.0,20,N,Y,POINT (-80.75975105 28.72813107)
AC3,-80.75908209,28.73059452,Merritt Island,TR,NS,,P,2,PUB,V,103,2,V,111,4,W,0,0.0,,,,4.0,N,0.1,,10.0,30,N,Y,POINT (-80.75908209 28.73059452)
AC4,-80.75838765,28.73109399,Merritt Island,TR,NS,,P,2,PUB,V,"505, 231",2,V,111,2,W,0,0.0,,,,4.0,N,0.1,,10.0,20,N,Y,POINT (-80.75838765 28.73109399)
AC5,-80.75785825,28.73176136,Merritt Island,TR,NS,,P,2,PUB,V,"103, 107",1,V,111,2,W,0,0.0,,,,2.0,N,0.2,,10.0,20,N,Y,POINT (-80.75785825 28.73176136)
AC6,-80.75739959,28.73194719,Merritt Island,TR,NS,,P,1,PUB,V,"133, 101",2,V,"111, 231",3,S,0,1.0,W,,,4.0,N,0.2,,10.0,20,N,Y,POINT (-80.75739959 28.73194719)
AC7,-80.75595573,28.73163077,Merritt Island,OF,NS,,P,0,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,Man made canal,0.0,0,,,POINT (-80.75595573 28.73163077)
AC8,-80.75581608,28.73134662,Merritt Island,TR,NS,,P,1,PUB,V,"133, 101",2,V,"111, 231",3,S,0,1.0,W,,,4.0,N,0.2,,10.0,20,N,Y,POINT (-80.75581608 28.73134662)
AC9,-80.75478704,28.7283563,Merritt Island,TR,NS,,P,1,PUB,V,"101, 123, 133, 530",2,V,"111, 505, 231",3,S,0,1.0,W,,,4.0,N,0.2,,10.0,20,N,Y,POINT (-80.75478704 28.7283563)
AC10,-80.75197298,28.72768667,Merritt Island,TR,NS,,P,1,PUB,V,"101, 123, 133, 530",2,V,"111, 231",2,S,0,1.0,W,,,3.0,N,0.2,,20.0,30,N,N,POINT (-80.75197298 28.72768667)
AC11,-80.7531332,28.73038338,Merritt Island,TR,NS,,P,1,PUB,V,"101, 123, 133, 530",2,V,"111, 133",2,S,0,1.0,W,,,3.0,N,0.2,,20.0,30,N,N,POINT (-80.7531332 28.73038338)
AC12,-80.75102633,28.72834775,Merritt Island,TR,NS,,P,2,PUB,V,"101, 123, 133",2,V,"111, 133",2,S,0,1.0,W,,,3.0,N,0.2,,20.0,30,N,N,POINT (-80.75102633 28.72834775)
AC13,-80.7483494,28.7264044,Merritt Island,TR,NS,,P,1,PUB,V,"101, 123, 133",3,S,,2,W,0,0.0,,,,2.0,N,0.2,,20.0,30,N,Y,POINT (-80.7483494 28.7264044)
AC14,-80.74669071,28.72416392,Merritt Island,TS,HS,O-Granite,P,1,PUB,V,"101, 123, 133",3,"R, S",,2,W,0,0.0,,,,2.0,N,0.2,,20.0,30,N,Y,POINT (-80.74669071 28.72416392)
AC15,-80.74427831,28.72081015,Merritt Island,TS,NS,,P,1,PUB,V,"101, 123, 133",3,V,"111, 133",2,S,0,1.0,W,,,3.0,N,0.2,,20.0,30,N,N,POINT (-80.74427831 28.72081015)
AC16,-80.74322336,28.71744708,Merritt Island,TR,SM,,P,1,PUB,V,"101, 123, 133",3,V,"111, 133",2,S,0,1.0,W,,,3.0,N,0.2,,10.0,10,N,Y,POINT (-80.74322336 28.71744708)
AC17,-80.74352645,28.71451819,Merritt Island,TR,SM,,P,3,PUB,V,"123, 107, 233",3,V,111,1,S,0,2.0,W,,,3.0,N,0.1,,10.0,10,N,Y,POINT (-80.74352645 28.71451819)
AC18,-80.74450328,28.71194428,Merritt Island,TR,SM,,P,3,PUB,V,"123, 107, 111, 233",3,V,111,1,S,0,2.0,W,,,6.0,N,0.1,,10.0,10,N,Y,POINT (-80.74450328 28.71194428)
AC19,-80.74653673,28.70919669,Merritt Island,TR,SM,,P,3,PUB,V,"111, 123, 107, 233",3,V,111,1,S,0,2.0,W,,,6.0,N,0.1,,10.0,10,N,Y,POINT (-80.74653673 28.70919669)
AC20,-80.74749755,28.70625841,Merritt Island,TR,SM,,P,3,PUB,V,"123, 107, 233",3,V,"111, 231",1,S,0,2.0,W,,,3.0,N,0.1,,10.0,20,N,N,POINT (-80.74749755 28.70625841)
AC21,-80.74435987,28.70551016,Merritt Island,TR,SM,,P,3,PUB,V,"111, 123, 107, 233",3,V,"111, 111, 231",1,S,0,2.0,W,,,6.0,N,0.1,small island in front,10.0,20,N,N,POINT (-80.74435987 28.70551016)
AC22,-80.74134858,28.70663786,Merritt Island,TR,SM,,P,3,PUB,V,"111, 123, 107, 233",3,V,"111, 111, 231",1,S,0,2.0,W,,,6.0,N,0.1,small island in front,10.0,20,N,N,POINT (-80.74134858 28.70663786)
AC23,-80.73818123,28.70734898,Merritt Island,TR,SM,,P,3,PUB,V,"111, 123, 107, 233",3,V,"111, 112, 231",1,W,0,0.0,,,,4.0,N,0.1,,10.0,20,N,N,POINT (-80.73818123 28.70734898)
AC24,-80.7353266,28.70841566,Merritt Island,TR,SM,,P,3,PUB,V,"111, 123, 107, 233",3,V,"111, 112, 231",1,W,0,0.0,,,,4.0,N,0.1,,10.0,20,N,N,POINT (-80.7353266 28.70841566)
AC25,-80.73502184,28.70981569,Merritt Island,TR,NS,,P,3,PUB,"V, S","101, 133",3,V,111,1,S,0,1.0,W,,,2.0,N,0.1,,10.0,10,N,N,POINT (-80.73502184 28.70981569)
AC26,-80.7331795,28.70905311,Merritt Island,TR,NS,,P,1,PUB,V,"101, 123, 133",3,V,"111, 112",2,W,0,0.0,,,,2.0,N,0.2,,20.0,30,N,Y,POINT (-80.7331795 28.70905311)
AC27,-80.72951468,28.70627216,Merritt Island,TR,NS,,P,1,PUB,V,"101, 123, 133",3,V,"111, 112",2,W,0,0.0,,,,2.0,N,0.2,,20.0,30,N,Y,POINT (-80.72951468 28.70627216)
AC28,-80.72850927,28.70355743,Merritt Island,TR,NS,,P,1,PUB,V,"101, 512, 133",3,V,"111, 112",2,W,0,0.0,,,,2.0,N,0.2,,20.0,30,N,Y,POINT (-80.72850927 28.70355743)
AC29,-80.72772791,28.70229838,Merritt Island,TS,"HS, MI",O-Granite,P,2,PUB,"V, S","528, 527",2,"R, V",111,2,W,0,0.0,,,,2.0,N,0.3,pump,20.0,20,N,N,POINT (-80.72772791 28.70229838)
