"feature_x","feature_y","nearest_x","nearest_y","distance","distance_2","n","X","Y","bnk_height","Beach","WideBeach","Exposure","bathymetry","roads","PermStruc","PublicRamp","RiparianLU","canal","SandSpit","Structure","offshorest","SAV","marsh_all","tribs","defended","rd_pstruc","lowBnkStrc","ShlType","Fetch_","selectThis","StrucList","Response","study","angle","SMMv5Def","forestshl","SL_Length","SL_Lgth_mi","City","Point_Type","Edge_Type","Hard_Mater","Adj_LU","Erosion","Owner","Adj_H1","V_Type1","Hab_W1","Adj_H2","V_Type2","Hab_W2","Adj_H3","V_Type3","Hab_W3","Adj_H4","V_Type4","Hab_W4","IT_Width","Rest_Opp","Slope","X3_m_depth","X5_m_depth","X0yster_Pre","Seagrass_P","Hardened_1","Erosion_2","WTLD_VEG_3","Slope_4","X10th","X20th","X30th","X40th","X50th","X60th","X70th","X80th","X90th","X99th","Length","MANGROVE","predicted","geometry"
507900.9411736,3210583.58359469,507900.9411736,3210583.58359469,1221,0,1,-80.91814,29.02399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",167.161183719208,NA,NA,NA,NA,"New Smyrna Beach","TR","BH","CON","P",3,"PUB","V",99,0,"W",0,0,NA,0,0,NA,NA,NA,0,"N",0,100,100,"Y","N",0,0,2,0,0.000966,0.003216,0.007283,0.026012,0.043217,0.053831,0.068362,0.08087,0.105852,0.1636,153.718308056,40,0.886325907966588,c(507900.9411736, 3210583.58359469)
507837.156209971,3211043.92137383,507837.156209971,3211043.92137383,1332,5.8208e-11,1,-80.91918,29.02772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",310.236358287302,NA,NA,NA,NA,"New Smyrna Beach","TS","HS","RB, CON, CQ","C",3,"PRI","S, V",99,0,"R",0,4,"W",0,0,NA,NA,NA,4,"N",0.45,100,100,"Y","N",0,0,2,1,0.00121,0.002936,0.007902,0.02204,0.042576,0.049916,0.068099,0.085611,0.106293,0.166494,16.8346393561,40,1.11153600008717,c(507837.156209971, 3211043.92137383)
507854.670684974,3210484.83587519,507854.670684974,3210484.83587519,1443,0,1,-80.91823,29.02287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"IRL",188.880659145842,NA,NA,NA,NA,"New Smyrna Beach","TS","NS",NA,"R",3,"PRI","V",99,0,"V",0,6,"OY",0,6,"W",NA,NA,12,"N",0.2,50,50,"Y","N",1,0,0,0,0.000653,0.001728,0.004939,0.019473,0.036504,0.04632,0.060143,0.072975,0.09705,0.153272,186.946996894,50,-1.21101184706528,c(507854.670684975, 3210484.83587519)
507879.778920795,3210388.6469357,507879.778920795,3210388.6469357,1554,0,1,-80.91823,29.02287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"IRL",175.364536572341,NA,NA,NA,NA,"New Smyrna Beach","TS","NS",NA,"R",3,"PRI","V",99,0,"V",0,6,"OY",0,6,"W",NA,NA,12,"N",0.2,50,50,"Y","N",1,0,0,0,0.000653,0.001728,0.004939,0.019473,0.036504,0.04632,0.060143,0.072975,0.09705,0.153272,186.946996894,50,-1.2082135078597,c(507879.778920795, 3210388.6469357)
507919.027572715,3210288.48051076,507919.027572716,3210288.48051076,1665,5.8208e-11,1,-80.9184,29.02168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"IRL",148.172553429299,NA,NA,NA,NA,"New Smyrna Beach","TR","NS",NA,"R",3,"PRI","V",99,0,"V",0,4,"S, OY",0,5,"W",NA,NA,9,"N",0,20,30,"Y","N",1,0,0,0,0.000692,0.001927,0.005759,0.015058,0.031745,0.043007,0.05151,0.065729,0.083695,0.136835,133.837453371,60,-0.787452503408207,c(507919.027572716, 3210288.48051076)
507963.705421366,3210192.7399862,507963.705421366,3210192.7399862,1776,1.16415e-10,1,-80.91755,29.01956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"IRL",151.389540336675,NA,NA,NA,NA,"New Smyrna Beach","TS","NS",NA,"R",3,"PRI","V",99,0,"V",112,1,"S, R",0,2,"W",NA,NA,3,"N",0.45,10,20,"N","N",1,0,2,1,0.001111,0.003303,0.007266,0.021693,0.037757,0.046633,0.062062,0.079641,0.097116,0.151081,99.7471675458,50,0.531991777947123,c(507963.705421367, 3210192.7399862)
508012.401165537,3210093.75116069,508012.401165537,3210093.75116069,1887,5.8208e-11,1,-80.91702,29.01875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",163.950995206918,NA,NA,NA,NA,"New Smyrna Beach","TS","BH,HS","CON, RB","R",3,"PRI","V",99,0,"W",0,0,NA,0,0,NA,NA,NA,0,"N",0.5,10,20,"N","N",0,0,2,1,0.000988,0.002808,0.006303,0.01871,0.034302,0.045543,0.057934,0.074354,0.091582,0.14296,155.763667436,50,1.27106302562313,c(508012.401165537, 3210093.75116069)
508020.549641689,3209985.88749827,508020.549641689,3209985.88749827,1998,0,1,-80.91719,29.01805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",159.887411711748,NA,NA,NA,NA,"New Smyrna Beach","TS","BH","CON","R",3,"PRI","V",99,0,"W",0,0,NA,0,0,NA,NA,NA,0,"N",0,10,20,"Y","N",0,0,2,0,0.001086,0.0031,0.006503,0.016006,0.033293,0.041457,0.051405,0.069205,0.089351,0.13837,37.1940234344,50,1.44150109810534,c(508020.54964169, 3209985.88749827)
508058.116229723,3209881.79949221,508058.116229723,3209881.79949221,2109,5.8208e-11,1,-80.91681,29.01697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",159.710799460967,NA,NA,NA,NA,"New Smyrna Beach","TS","BH,HS","CON","R",3,"PRI","V",99,0,"S",0,2,"W",0,0,NA,NA,NA,2,"N",0,40,50,"N","N",0,0,2,0,0.000992,0.002783,0.00623,0.01226,0.023021,0.034245,0.042678,0.058555,0.081071,0.124639,40.8735679282,60,0.922495129187554,c(508058.116229724, 3209881.79949221)
508111.734051143,3209789.29408494,508111.734051143,3209789.29408494,2220,0,1,-80.91579,29.01413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",177.51044708267,NA,NA,NA,NA,"New Smyrna Beach","TR","BH","CON","R",3,"PRI","V",99,0,"V",112,3,"S, OY",0,2,"W",NA,NA,5,"N",0.4,40,50,"Y","N",0,0,0,1,0.000409,0.000987,0.001905,0.005096,0.0113,0.013028,0.018565,0.02576,0.036921,0.072083,286.039283543,80,1.30087566045391,c(508111.734051143, 3209789.29408494)
508133.112234981,3209696.99511466,508133.112234981,3209696.99511466,2331,0,1,-80.91579,29.01413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",179.999999996346,NA,NA,NA,NA,"New Smyrna Beach","TR","BH","CON","R",3,"PRI","V",99,0,"V",112,3,"S, OY",0,2,"W",NA,NA,5,"N",0.4,40,50,"Y","N",0,0,0,1,0.000409,0.000987,0.001905,0.005096,0.0113,0.013028,0.018565,0.02576,0.036921,0.072083,286.039283543,80,1.30036023056751,c(508133.112234981, 3209696.99511466)
508162.224093012,3209599.39986081,508162.224093012,3209599.39986081,2442,5.8208e-11,1,-80.91579,29.01413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",159.145541970739,NA,NA,NA,NA,"New Smyrna Beach","TR","BH","CON","R",3,"PRI","V",99,0,"V",112,3,"S, OY",0,2,"W",NA,NA,5,"N",0.4,40,50,"Y","N",0,0,0,1,0.000409,0.000987,0.001905,0.005096,0.0113,0.013028,0.018565,0.02576,0.036921,0.072083,286.039283543,80,1.30467787767279,c(508162.224093012, 3209599.39986081)
508202.391393243,3209503.79968371,508202.391393243,3209503.79968371,2553,0,1,-80.91537,29.01346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",167.005383212789,NA,NA,NA,NA,"New Smyrna Beach","TS","BH","CON, O-Metal","R",3,"PRI","V",99,0,"V",112,1,"S, OY",0,2.5,"W",NA,NA,3.5,"N",0.4,40,50,"Y","N",0,0,2,1,0.000446,0.001101,0.001947,0.005553,0.012812,0.015362,0.023443,0.02835,0.04174,0.075757,90.9061298377,80,2.15376656511105,c(508202.391393243, 3209503.79968371)
508268.23482728,3209466.3920565,508268.23482728,3209466.3920565,2664,5.8208e-11,1,-80.91538,29.01368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"IRL",67.0678995603753,NA,NA,NA,NA,"New Smyrna Beach","TS","NS",NA,"R",3,"PRI","V",0,0,"V",0,3,"OY",0,10,"W",NA,NA,13,"N",0,20,30,"Y","N",1,0,0,0,0.000409,0.000987,0.001905,0.005096,0.0113,0.013028,0.018565,0.02576,0.036921,0.072083,42.2617567095,80,-0.366482413455641,c(508268.23482728, 3209466.3920565)
508271.535022742,3209537.01781792,508271.535022742,3209537.01781792,2775,0,1,-80.91552,29.01456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",251.146841236637,NA,NA,NA,NA,"New Smyrna Beach","TS","BH","CON","R",3,"PRI","V",99,0,"V",112,1,"W, S",0,2,"W",NA,NA,3,"N",0.7,115,125,"N","N",0,0,2,1,0.000472,0.000809,0.002483,0.005549,0.007651,0.013105,0.018381,0.023491,0.033671,0.070751,152.727519659,80,1.74864296467378,c(508271.535022742, 3209537.01781792)
508239.12147417,3209639.86915727,508239.12147417,3209639.86915727,2886,5.8208e-11,1,-80.91575,29.01509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",334.855214370561,NA,NA,NA,NA,"New Smyrna Beach","TS","BH,HS","CON","R",3,"PRI","V",99,0,"R, V",112,1,"R",0,0.5,"W",NA,NA,1.5,"N",0.8,110,120,"N","N",0,0,2,1,0.000411,0.000837,0.002463,0.004776,0.006486,0.011066,0.017162,0.022014,0.031185,0.067623,62.1163890059,80,1.31783622559514,c(508239.121474171, 3209639.86915727)
508192.060129753,3209740.39882756,508192.060129753,3209740.39882756,2997,5.8208e-11,1,-80.91614,29.01588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",334.983106521174,NA,NA,NA,NA,"New Smyrna Beach","TS","BH,HS","RB","R",3,"PRI","V",99,0,"R",0,1,"W",0,0,NA,NA,NA,1,"N",0.8,121,131,"N","N",0,0,2,1,0.000405,0.001301,0.002801,0.003806,0.006571,0.010593,0.017115,0.035787,0.055777,0.107192,23.8624608849,80,0.96158223257793,c(508192.060129753, 3209740.39882756)
508154.537678119,3209843.04751276,508154.537678119,3209843.04751276,3108,0,1,-80.91672,29.01729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",341.333085727887,NA,NA,NA,NA,"New Smyrna Beach","TS","HS","CON","R",3,"PRI","V",106,0,"V",0,1,"S, OY",0,3,"W",NA,NA,4,"N",0.45,101,114,"Y","N",0,0,2,1,0.000992,0.002783,0.00623,0.01226,0.023021,0.034245,0.042678,0.058555,0.081071,0.124639,111.213275577,60,1.61189681061797,c(508154.537678119, 3209843.04751276)
508137.404430007,3209939.43845631,508137.404430007,3209939.43845631,3219,1.16415e-10,1,-80.91583,29.01737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",133.078044040875,NA,NA,NA,NA,"New Smyrna Beach","TS","BH,HS","CON, RB","R",3,"PRI","V",99,0,"W",0,0,NA,0,0,NA,NA,NA,0,"N",0,300,300,"N","N",0,0,2,0,0.001348,0.002971,0.008171,0.021911,0.037755,0.045585,0.057683,0.073841,0.093811,0.14381,85.8530896159,50,-0.226868249160326,c(508137.404430007, 3209939.43845631)
508218.539986512,3209863.68934324,508218.539986512,3209863.68934324,3330,1.16415e-10,1,-80.91516,29.01682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",133.363422957245,NA,NA,NA,NA,"New Smyrna Beach","TR","BH","CON","R",3,"PRI","V",99,0,"W",0,0,NA,0,0,NA,NA,NA,0,"N",0,200,300,"N","N",0,0,2,0,0.000938,0.002709,0.007669,0.01808,0.029696,0.039951,0.046778,0.061378,0.08014,0.126888,108.083061056,60,0.663898460949884,c(508218.539986512, 3209863.68934324)
508296.623397059,3209785.13089049,508296.623397059,3209785.13089049,3441,0,1,-80.91441,29.01616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",155.480357314553,NA,NA,NA,NA,"New Smyrna Beach","TR","BH","CON","R",3,"PRI","V",99,0,"W",0,0,NA,0,0,NA,NA,NA,0,"N",0,200,300,"N","N",0,0,2,0,0.000966,0.002684,0.008263,0.022477,0.031118,0.041485,0.048049,0.062993,0.080358,0.130334,75.6643337535,60,0.614977228677357,c(508296.623397057, 3209785.13089049)
508343.522908184,3209684.53270112,508343.522908184,3209684.53270112,3552,5.8208e-11,1,-80.91395,29.01531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",155.684080269599,NA,NA,NA,NA,"New Smyrna Beach","TR","BH","CON","R",3,"PRI","V",99,0,"W",0,0,NA,0,0,NA,NA,NA,0,"N",0,80,90,"N","Y",0,0,2,0,0.001018,0.002728,0.008571,0.026791,0.040173,0.045717,0.060112,0.076329,0.095215,0.145156,135.389987882,50,1.02713137047197,c(508343.522908184, 3209684.53270111)
508390.565537542,3209584.00655023,508390.565537542,3209584.00655023,3663,5.8208e-11,1,-80.91343,29.0144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",155.658910064288,NA,NA,NA,NA,"Edgewater","TS","BH","CONCRETE","R",3,"PRI","V",99,0,"W",0,0,NA,0,0,NA,NA,NA,0,NA,0,70,80,"Y","N",0,0,2,0,0.000902,0.002671,0.008651,0.024158,0.031227,0.041289,0.048565,0.06372,0.082165,0.1297,100.299210702,60,1.20337911821117,c(508390.565537543, 3209584.00655023)
508428.178964025,3209500.55986859,508428.178964025,3209500.55986859,3774,5.8208e-11,1,-80.91277,29.01329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",143.841814559543,NA,NA,NA,NA,"Edgewater","TR","HS","RB","R",2,"PRI","V",99,0,"V",112,3,"R, S",0,2,NA,NA,NA,5,"N",0.4,50,60,"Y","N",0,1,0,1,0.000924,0.002862,0.009885,0.025687,0.032132,0.042482,0.050927,0.06544,0.083247,0.131032,174.420730023,60,0.813250574492678,c(508428.178964025, 3209500.55986859)
508456.916235361,3209397.14245708,508456.916235361,3209397.14245708,3885,0,1,-80.9131,29.01237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",183.094058054149,NA,NA,NA,NA,"Edgewater","TS","HS","RB","R",2,"PRI","V",0,0,"R, V",111,3,"R, S",0,3,NA,NA,NA,6,"N",0.35,50,60,"Y","N",0,1,0,1,0.000694,0.001883,0.003826,0.006207,0.020084,0.036117,0.049857,0.062462,0.089284,0.139637,62.9791934295,60,1.01504836695896,c(508456.91623536, 3209397.14245708)
508400.261367107,3209376.1749628,508400.261367107,3209376.1749628,3996,0,1,-80.91273,29.0113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"IRL",327.154941696917,NA,NA,NA,NA,"Edgewater","TR","NS",NA,"R",2,"PRI","V",0,0,"V",0,4,"S, OY",0,3,NA,NA,NA,7,"N",0.25,32,42,"Y","N",1,1,0,1,0.000699,0.001679,0.00309,0.008477,0.018539,0.023516,0.036656,0.053455,0.073688,0.1183,695.622138097,70,-0.0406700212809493,c(508400.261367106, 3209376.1749628)
508339.368533711,3209467.07983712,508339.368533711,3209467.07983712,4107,0,1,-80.91273,29.0113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"IRL",245.556045218827,NA,NA,NA,NA,"Edgewater","TR","NS",NA,"R",2,"PRI","V",0,0,"V",0,4,"S, OY",0,3,NA,NA,NA,7,"N",0.25,32,42,"Y","N",1,1,0,1,0.000699,0.001679,0.00309,0.008477,0.018539,0.023516,0.036656,0.053455,0.073688,0.1183,695.622138097,70,-0.023776020068344,c(508339.368533711, 3209467.07983712)
508237.747386278,3209436.19111456,508237.747386278,3209436.19111456,4218,5.8208e-11,1,-80.91273,29.0113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"IRL",251.565051179389,NA,NA,NA,NA,"Edgewater","TR","NS",NA,"R",2,"PRI","V",0,0,"V",0,4,"S, OY",0,3,NA,NA,NA,7,"N",0.25,32,42,"Y","N",1,1,0,1,0.000699,0.001679,0.00309,0.008477,0.018539,0.023516,0.036656,0.053455,0.073688,0.1183,695.622138097,70,-0.0250201074073381,c(508237.747386278, 3209436.19111456)
508263.36938169,3209334.00834639,508263.36938169,3209334.00834639,4329,1.16415e-10,1,-80.91273,29.0113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"IRL",140.710593136792,NA,NA,NA,NA,"Edgewater","TR","NS",NA,"R",2,"PRI","V",0,0,"V",0,4,"S, OY",0,3,NA,NA,NA,7,"N",0.25,32,42,"Y","N",1,1,0,1,0.000699,0.001679,0.00309,0.008477,0.018539,0.023516,0.036656,0.053455,0.073688,0.1183,695.622138097,70,-0.00206911873683369,c(508263.36938169, 3209334.00834639)
508318.151764135,3209244.5245863,508318.151764136,3209244.5245863,4440,5.8208e-11,1,-80.91273,29.0113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"IRL",115.866356787997,NA,NA,NA,NA,"Edgewater","TR","NS",NA,"R",2,"PRI","V",0,0,"V",0,4,"S, OY",0,3,NA,NA,NA,7,"N",0.25,32,42,"Y","N",1,1,0,1,0.000699,0.001679,0.00309,0.008477,0.018539,0.023516,0.036656,0.053455,0.073688,0.1183,695.622138097,70,0.00307456061568712,c(508318.151764135, 3209244.5245863)
